,,mean,std,min,max,median,q1,q3
Kicks & Snares (GT),Statistical::Poly Velocity std,0.164,0.113,0.0,0.457,0.165,0.061,0.258
Kicks & Snares (GT),Statistical::Poly Offset Mean,-0.068,0.109,-0.433,0.483,-0.063,-0.141,0.006
Kicks & Snares (GT),Statistical::Poly Offset std,0.153,0.089,0.0,0.442,0.133,0.083,0.212
Kicks & Snares (GT),Syncopation::Combined,0.31,0.265,0.0,1.233,0.267,0.1,0.467
Kicks & Snares (GT),Syncopation::Polyphonic,0.171,0.249,0.0,1.4,0.0,0.0,0.267
Kicks & Snares (GT),Syncopation::Lowsync,0.105,0.127,0.0,0.567,0.067,0.0,0.2
Kicks & Snares (GT),Syncopation::Midsync,0.147,0.197,0.0,0.933,0.033,0.0,0.267
Kicks & Snares (GT),Syncopation::Hisync,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicks & Snares (GT),Syncopation::Lowsyness,0.014,0.017,0.0,0.1,0.007,0.0,0.03
Kicks & Snares (GT),Syncopation::Midsyness,0.014,0.018,0.0,0.1,0.005,0.0,0.025
Kicks & Snares (GT),Syncopation::Hisyness,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicks & Snares (GT),Syncopation::Complexity,0.513,0.315,0.031,1.477,0.456,0.254,0.752
Kicks & Snares (GT),Auto-Correlation::Skewness,2.592,0.998,0.057,5.388,2.721,2.058,3.173
Kicks & Snares (GT),Auto-Correlation::Max,4.994,3.737,0.035,21.62,4.084,1.872,7.007
Kicks & Snares (GT),Auto-Correlation::Centroid,8.051,1.85,0.0,11.326,8.399,7.597,9.233
Kicks & Snares (GT),Auto-Correlation::Harmonicity,0.328,0.278,0.002,1.0,0.234,0.105,0.511
Kicks & Snares (GT),Micro-Timing::Swingness,0.226,0.289,0.0,1.583,0.083,0.0,0.403
Kicks & Snares (GT),Micro-Timing::Laidbackness,-0.044,0.15,-0.5,0.625,0.0,-0.125,0.0
Kicks & Snares (GT),Micro-Timing::Accuracy,0.162,0.091,0.0,0.5,0.142,0.093,0.217
Kicks & Snares,Statistical::NoI,1.409,0.495,0.0,2.0,1.0,1.0,2.0
